Threshold,Precision (Denial),Recall (Denial),F1 (Denial),Flagged Rate
0.3,0.9107142857142857,0.39347711730668067,0.5495285906697686,0.08800314296939177
0.4,0.8643899204244032,0.457127827459232,0.5980043582979699,0.1077181327904568
0.5,0.8058696822832525,0.5248115027178678,0.6356589147286822,0.13264759455694847
0.6,0.7526339899221255,0.5761879712432053,0.65269639487536,0.15593414050501803
0.7,0.6780203236733158,0.6317727511835876,0.6540800580920396,0.18979249258902103
