,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Logistic,0.6911485163236225,0.003949904393674124,0.862757965505039,0.002090487222128872
RandomForest,0.8854444290349578,0.0007661688214940094,0.9553956928127466,0.0009149632563823726
LightGBM,0.8873716567768686,0.0006384367187685106,0.9564859470038224,0.0006647318253439915
